donor, acceptor, , 
2469.08, 1660.42, , 
2620.99, -405.89, , 
764.64, 765.37, , 
-941.64, 567.60, , 
1293.64, -644.35, , 
30.76, 608.04, , 
1152.61, 1828.96, , 
-3301.62, 173.49, , 
81.63, 1198.07, , 
34.37, 2731.55, , 
14.81, -265.71, , 
479.36, -454.21, , 
432.16, -77.24, , 
-1603.57, 444.67, , 
-993.49, -204.75, , 
-2396.51, 550.47, , 
3563.04, 1772.57, , 
1595.09, 517.53, , 
2967.61, -885.57, , 
1679.12, -35.40, , 
2479.69, 923.02, , 
-295.20, -199.55, , 
-977.32, -2459.51, , 
-1268.02, -605.39, , 
-1748.34, -931.25, , 
1002.36, 367.84, , 
-520.29, -385.96, , 
-437.95, 735.91, , 
-1744.65, 498.33, , 
230.18, 648.62, , 
-1182.61, -1797.08, , 
1130.29, 1062.64, , 
-1835.76, 679.75, , 
3295.74, 586.08, , 
-403.38, -648.66, , 
2939.89, 1888.21, , 
-233.49, -329.59, , 
-2340.84, 794.02, , 
-1076.82, 1215.82, , 
-1194.77, 171.17, , 
1438.47, -493.90, , 
-164.63, 277.11, , 
-127.55, 219.03, , 
2588.54, 1681.07, , 
-1736.78, 1719.33, , 
-191.14, -1094.77, , 
77.10, 48.23, , 
326.21, -1221.36, , 
-548.75, 190.42, , 
-733.97, -316.43, , 
395.78, 2210.96, , 
-1768.57, 882.73, , 
554.93, 1453.74, , 
45.98, -533.54, , 
1332.70, 186.80, , 
-14.48, -196.56, , 
-71.10, -69.71, , 
-1507.74, -1037.74, , 
126.38, 1054.40, , 
695.34, -553.93, , 
-622.27, 1993.19, , 
-1027.06, -879.45, , 
1027.59, -21.02, , 
558.78, 93.40, , 
-776.77, -763.82, , 
433.27, 39.22, , 
787.21, 1598.95, , 
-1621.43, -835.60, , 
-665.19, 859.36, , 
1351.60, 122.81, , 
-2593.34, 351.75, , 
194.12, 366.53, , 
358.34, 1474.07, , 
-2186.58, -387.36, , 
1494.97, 773.55, , 
257.09, 726.07, , 
1634.42, 284.00, , 
-322.03, -781.03, , 
382.04, 1516.35, , 
1910.76, -50.42, , 
1107.25, -2.02, , 
1688.72, -1349.47, , 
768.96, 1230.71, , 
592.58, -1893.47, , 
489.80, -262.65, , 
1918.50, -406.02, , 
-2239.66, 3467.74, , 
1133.10, -1035.71, , 
1392.68, 910.28, , 
-3965.39, 887.28, , 
453.82, -812.93, , 
225.49, -287.65, , 
-638.05, -360.14, , 
810.84, -533.69, , 
1122.76, 924.76, , 
-1199.69, 294.35, , 
-3273.32, 674.65, , 
-463.82, 402.91, , 
1002.02, 1248.76, , 
-294.61, -355.56, , 
-548.65, -1831.62, , 
529.48, 225.12, , 
-248.90, -22.22, , 
-130.61, 1413.12, , 
334.43, 458.09, , 
-1335.27, 802.40, , 
-394.78, 319.93, , 
504.84, -87.79, , 
948.36, 1096.65, , 
-1105.52, 1141.59, , 
1625.90, 2128.26, , 
816.18, 2137.78, , 
-2949.19, 2142.00, , 
-766.20, -119.53, , 
-737.12, -263.95, , 
-402.60, -563.68, , 
785.23, 800.76, , 
1268.75, 711.33, , 
1049.01, 206.88, , 
630.44, 24.15, , 
-2345.15, 1465.57, , 
1210.70, -1118.76, , 
-744.77, 2227.14, , 
-623.40, -400.21, , 
34.99, 1976.45, , 
-1452.34, 560.64, , 
-1672.44, -81.12, , 
-1858.93, 975.84, , 
3703.97, 564.77, , 
-1346.17, 343.35, , 
-827.73, 500.65, , 
-528.45, 2879.00, , 
-607.94, -13.29, , 
-361.25, 965.50, , 
-1078.52, -1466.74, , 
-714.96, 1891.35, , 
-129.48, 897.09, , 
614.56, 876.82, , 
386.46, 908.30, , 
-1067.00, 1848.70, , 
463.64, 2949.53, , 
-2183.80, 2264.45, , 
1417.82, 570.39, , 
-734.11, -261.12, , 
-1945.34, 2537.10, , 
918.68, -1225.30, , 
2346.13, 297.71, , 
896.73, 1565.97, , 
-1524.03, 1315.22, , 
505.86, -201.17, , 
-225.75, -361.54, , 
1887.08, -141.01, , 
-341.65, 452.34, , 
1178.50, 32.65, , 
-2220.02, -182.21, , 
-122.50, 1139.30, , 
123.19, 286.14, , 
1336.93, -446.17, , 
-1345.95, 1233.53, , 
25.53, -396.41, , 
1680.68, -205.15, , 
-1020.67, 226.55, , 
-116.26, 854.76, , 
1447.11, 1184.18, , 
-664.94, 852.71, , 
1244.04, 913.56, , 
818.25, 1864.23, , 
-1037.80, 1749.94, , 
262.25, 369.93, , 
113.26, 85.78, , 
1061.04, 1095.73, , 
764.38, 829.32, , 
-509.04, -1150.37, , 
-591.71, 760.10, , 
-420.64, -482.76, , 
-708.86, -745.47, , 
-1327.47, 2238.81, , 
-3080.27, 507.24, , 
-734.74, 1613.98, , 
1486.88, 427.18, , 
-1703.05, 1058.88, , 
553.53, 1723.65, , 
-244.35, 1321.78, , 
975.15, -768.76, , 
702.99, 389.61, , 
-1190.41, -345.69, , 
-3094.38, 1360.58, , 
-72.66, 749.23, , 
-607.34, -12.29, , 
57.84, 193.18, , 
-500.57, 540.58, , 
1745.71, 2280.23, , 
-1131.03, 1089.30, , 
-535.92, 3435.73, , 
-602.97, 881.11, , 
985.11, -281.21, , 
-913.55, 2571.13, , 
1566.85, -181.04, , 
309.28, 1663.06, , 
-912.37, 838.68, , 
2127.28, -821.31, , 
-1208.96, 704.35, , 
3025.02, -216.53, , 
1362.95, -85.75, , 
49.89, -770.75, , 
255.49, -702.10, , 
544.79, 2415.90, , 
55.54, -26.52, , 
1862.88, -2034.29, , 
-778.75, -18.13, , 
-1464.49, -283.28, , 
-2085.40, 1143.07, , 
1096.50, 1245.89, , 
8154.57, 315.47, , 
16129.21, 948.37, , 
13477.38, -983.47, , 
8419.32, 177.75, , 
13288.08, 129.41, , 
10335.67, -1100.17, , 
12634.08, -106.72, , 
12153.67, 442.46, , 
9008.60, 175.63, , 
10665.11, 275.92, , 
16916.10, 276.13, , 
14055.76, 892.05, , 
13342.59, 548.09, , 
13550.81, 71.93, , 
20321.78, 287.59, , 
14473.98, 447.08, , 
10996.70, -492.24, , 
14054.77, -219.28, , 
9248.36, 198.60, , 
8640.16, 299.99, , 
16977.79, -556.00, , 
10086.05, -381.16, , 
4677.73, -247.58, , 
6732.42, 93.43, , 
4328.47, 318.47, , 
7256.55, 395.49, , 
7804.88, -115.90, , 
56.82, -52.38, , 
3492.79, -386.97, , 
3574.45, 129.48, , 
4514.37, 314.44, , 
6739.92, -523.49, , 
5615.72, -860.64, , 
5059.90, -52.01, , 
3633.85, 223.91, , 
4795.16, -374.34, , 
7121.00, 142.41, , 
5674.47, -0.36, , 
5458.04, 406.86, , 
4930.32, -36.66, , 
2643.45, 830.57, , 
2432.06, -389.84, , 
2559.82, -187.12, , 
2648.41, -340.85, , 
2286.54, 554.54, , 
-3433.71, -1056.19, , 
1133.52, 460.20, , 
2913.88, -423.15, , 
1214.86, 672.45, , 
4402.60, 109.40, , 
980.73, 1179.87, , 
549.04, 169.44, , 
710.70, 205.69, , 
1677.32, -402.44, , 
3407.37, -169.50, , 
1771.36, 117.73, , 
1646.09, -104.39, , 
3310.66, 328.98, , 
873.09, 506.52, , 
2334.61, 459.93, , 
1825.39, -41.80, , 
2811.93, -166.83, , 
583.58, -189.74, , 
2808.31, 152.93, , 
4037.46, 736.91, , 
4134.70, 536.49, , 
3124.82, 325.28, , 
3364.05, 778.85, , 
2584.68, 183.98, , 
2956.98, 229.57, , 
461.51, 290.43, , 
2481.32, -68.03, , 
3734.16, 311.92, , 
2956.48, -214.08, , 
1404.61, 106.60, , 
4974.62, 76.97, , 
5366.35, -487.66, , 
1807.39, 304.59, , 
2209.07, -332.82, , 
-384.00, 589.26, , 
837.36, 214.77, , 
1271.31, -195.75, , 
837.09, 227.46, , 
3507.14, 253.59, , 
3884.18, 104.58, , 
1392.91, 209.71, , 
4694.88, 126.28, , 
1665.22, -186.30, , 
1952.71, -264.19, , 
3096.21, 958.88, , 
4135.02, -111.87, , 
3101.09, -58.88, , 
1236.01, 486.48, , 
3761.54, 187.46, , 
4245.76, -302.17, , 
879.95, 611.54, , 
3513.03, -5.01, , 
1944.31, 286.48, , 
4569.00, -224.85, , 
3440.06, 149.81, , 
3522.57, 533.81, , 
3896.08, -86.64, , 
1665.93, 343.66, , 
2748.04, 601.65, , 
3714.43, -266.40, , 
1953.27, 584.58, , 
3589.08, -232.55, , 
3864.97, 291.83, , 
2333.59, 1027.11, , 
2389.21, -542.01, , 
3902.49, -419.31, , 
3606.80, -372.19, , 
2142.65, 1158.22, , 
3137.49, -212.30, , 
3511.98, -29.18, , 
1873.44, -59.97, , 
3311.59, 71.05, , 
4959.84, -45.36, , 
3008.39, -900.96, , 
4298.51, 129.95, , 
4625.58, 180.91, , 
3713.15, 52.95, , 
3109.99, -110.57, , 
1980.97, 221.27, , 
1955.53, -619.73, , 
3787.09, -365.74, , 
5104.03, 60.82, , 
1794.54, -101.70, , 
3286.69, -0.96, , 
2127.19, -166.83, , 
2864.10, -208.32, , 
2524.05, 383.39, , 
4248.00, -348.30, , 
4195.39, 45.71, , 
1610.05, 237.47, , 
1750.77, -856.35, , 
1711.15, -174.81, , 
4995.72, 601.70, , 
998.48, -258.20, , 
3352.76, -297.15, , 
3916.82, -129.85, , 
737.45, 536.90, , 
2878.67, -351.28, , 
2465.62, 482.92, , 
2306.33, -208.16, , 
1689.48, -613.55, , 
645.24, 361.91, , 
-313.41, -37.09, , 
2427.92, 201.89, , 
-1042.99, 127.69, , 
989.49, 14.69, , 
-2055.48, -493.65, , 
113.02, 6.52, , 
652.14, -317.24, , 
2854.40, -525.47, , 
835.74, -564.13, , 
-833.46, 754.41, , 
-991.11, -332.72, , 
-766.15, 444.34, , 
-111.05, 231.45, , 
-1674.33, -5.47, , 
2652.03, -182.69, , 
-1340.99, -191.35, , 
783.86, -41.01, , 
-3063.01, 30.78, , 
-776.28, 184.91, , 
-2268.79, 232.52, , 
-1774.93, 405.08, , 
774.12, -38.97, , 
80.05, 492.13, , 
-1129.34, -519.52, , 
1327.28, 355.36, , 
1221.26, -644.31, , 
292.17, 466.98, , 
553.24, -473.57, , 
-272.92, 752.89, , 
1374.98, 99.00, , 
127.66, 227.53, , 
-578.63, 788.05, , 
1522.26, 673.85, , 
662.43, -405.11, , 
-1353.36, -79.67, , 
2192.57, -394.74, , 
103.94, -284.52, , 
791.00, -95.14, , 
-836.31, -266.95, , 
2542.25, -450.98, , 
519.67, -63.67, , 
2251.95, -570.35, , 
-1615.18, 154.43, , 
585.25, -679.48, , 
-478.26, -166.00, , 
2114.49, -509.89, , 
-843.69, -143.18, , 
-680.83, 219.01, , 
799.44, 875.98, , 
81.83, 121.89, , 
1795.39, 784.88, , 
-220.88, -344.90, , 
1653.63, -495.92, , 
-134.47, -366.21, , 
533.83, 285.22, , 
-1516.21, -433.84, , 
1172.43, -102.10, , 
307.03, 120.19, , 
3236.76, 410.01, , 
561.14, 388.69, , 
970.88, -754.20, , 
-438.31, 63.63, , 
-205.29, 647.65, , 
-996.14, 636.89, , 
647.84, -306.01, , 
-779.77, 837.65, , 
299.34, -564.86, , 
-366.22, -254.13, , 
815.26, -481.83, , 
1608.27, -682.91, , 
1497.92, 87.36, , 
-309.94, -113.25, , 
-987.56, 502.64, , 
1741.82, 674.92, , 
-784.63, 9.08, , 
506.50, 400.87, , 
671.57, -195.03, , 
785.07, -403.92, , 
-140.08, 842.80, , 
1199.48, 471.92, , 
-106.92, 42.03, , 
-289.65, 126.05, , 
862.66, -258.12, , 
419.43, 578.42, , 
570.18, 387.27, , 
-1332.77, 165.84, , 
1163.37, 228.27, , 
199.18, 452.61, , 
1539.10, 245.76, , 
-522.70, -102.53, , 
555.75, -32.21, , 
-126.01, -71.03, , 
1028.61, -557.59, , 
2621.09, -181.31, , 
102.82, -43.60, , 
980.35, -179.75, , 
-1656.97, -340.07, , 
-685.75, 522.77, , 
-2291.12, 246.02, , 
1256.94, -492.78, , 
955.69, -374.29, , 
1965.38, 141.86, , 
532.98, 332.72, , 
351.22, -35.13, , 
865.02, -174.54, , 
599.10, -244.66, , 
773.69, 283.28, , 
1167.72, -601.43, , 
-1147.35, -35.06, , 
2891.27, 32.69, , 
1390.38, 435.44, , 
-1285.56, -260.99, , 
963.57, 459.11, , 
165.29, 299.91, , 
1533.02, -188.21, , 
546.70, -311.65, , 
443.76, 394.27, , 
178.95, 1098.87, , 
1502.58, 516.39, , 
79.31, -278.56, , 
904.25, -587.83, , 
294.02, 310.02, , 
201.05, -362.18, , 
-120.86, -332.82, , 
1104.97, 80.78, , 
207.19, -40.93, , 
1222.88, -102.41, , 
-152.07, -225.66, , 
-1321.21, 595.32, , 
-837.37, 173.07, , 
-1338.88, -249.58, , 
961.07, 521.58, , 
-827.11, 816.24, , 
-804.00, -44.66, , 
-793.48, 62.64, , 
-551.59, 391.41, , 
-0.57, -379.34, , 
-977.33, -545.10, , 
397.25, 17.42, , 
-1122.71, -135.33, , 
457.51, -138.93, , 
-1239.89, -28.85, , 
1030.45, 166.46, , 
-68.32, -330.27, , 
1130.57, -382.81, , 
-1119.82, 93.98, , 
-642.15, -560.58, , 
-2073.52, 214.73, , 
252.91, -646.94, , 
-51.42, -505.11, , 
755.51, 560.59, , 
-19.13, 233.57, , 
1818.46, -477.10, , 
301.03, -57.55, , 
