donor, acceptor, , 
-544.42, -1002.97, , 
-1235.66, -523.13, , 
-1589.50, -1553.15, , 
-1208.80, 435.55, , 
-1088.68, -45.83, , 
-1176.94, 1156.58, , 
2056.85, 478.47, , 
-633.57, -1840.99, , 
417.20, -1355.15, , 
1953.17, 55.70, , 
-2453.72, 284.54, , 
-1047.08, -711.11, , 
3163.60, -766.94, , 
-107.28, 1258.01, , 
436.00, -1154.60, , 
371.66, -443.98, , 
1333.21, -534.19, , 
-618.19, 371.61, , 
1035.05, 85.80, , 
245.61, 352.37, , 
-2086.39, -194.63, , 
-1091.62, 62.88, , 
-1201.76, -697.42, , 
406.34, -1217.75, , 
-1709.24, -1301.91, , 
-1428.32, 67.37, , 
-1207.39, 1556.39, , 
-329.35, -196.32, , 
-1135.26, 598.45, , 
1205.83, -1586.15, , 
-711.42, 750.98, , 
-13.91, 5.85, , 
1220.38, 145.94, , 
-573.31, 335.80, , 
636.67, 85.54, , 
-46.21, -328.31, , 
-1656.69, -44.25, , 
-468.01, -1241.37, , 
173.82, -1935.20, , 
-2876.32, 68.46, , 
177.08, 1184.69, , 
-483.44, 1327.52, , 
3965.60, 455.60, , 
1023.36, 440.60, , 
-3426.18, -1018.36, , 
936.18, 1140.91, , 
1606.96, 2357.28, , 
1841.20, 85.94, , 
-2978.60, -455.62, , 
-978.88, 285.70, , 
-517.28, -182.55, , 
-2039.38, -43.24, , 
-666.27, 881.83, , 
-66.36, 380.30, , 
-470.02, 1085.29, , 
-1972.80, -91.63, , 
-1326.36, -969.96, , 
-1117.94, -575.54, , 
-758.19, -1757.71, , 
422.28, -819.92, , 
-206.17, 1142.42, , 
-1058.83, -1318.96, , 
-773.86, -2049.77, , 
1558.88, -836.59, , 
-751.73, -2183.43, , 
1884.31, -662.27, , 
-1717.05, -2722.92, , 
-2347.22, 309.93, , 
-132.41, -1017.73, , 
134.34, 165.55, , 
-3554.78, 336.88, , 
-10.55, 452.04, , 
-2111.99, 1257.35, , 
-762.51, 403.50, , 
1690.95, 453.54, , 
-751.33, 745.65, , 
-1.78, 997.92, , 
212.39, -1265.23, , 
-2537.32, 139.22, , 
803.33, -1643.02, , 
-1123.78, 290.82, , 
-1159.17, -1221.10, , 
-3260.78, 2265.91, , 
-1468.39, -2704.99, , 
-567.75, -1200.57, , 
74.45, 2584.16, , 
1218.63, 1154.52, , 
-2360.35, -1086.05, , 
3084.13, 131.94, , 
1996.37, -183.17, , 
-521.68, -1001.93, , 
-902.92, -1495.38, , 
3884.61, -1541.48, , 
973.58, 1412.96, , 
1673.05, -268.11, , 
2048.37, -327.81, , 
-1563.14, -1637.73, , 
-1113.13, 807.20, , 
3762.39, -736.33, , 
4464.38, 778.41, , 
-1154.95, -1985.23, , 
-1499.82, 639.92, , 
-288.42, 1579.16, , 
613.92, 674.85, , 
828.82, 712.37, , 
-485.48, -2048.46, , 
1916.16, -755.65, , 
-1359.34, -668.41, , 
-1814.68, 320.92, , 
-814.29, 1302.27, , 
-190.38, 753.66, , 
-3164.93, -1291.01, , 
-850.16, -2405.28, , 
-819.17, 1316.62, , 
-1001.19, -807.35, , 
851.05, -48.05, , 
-3934.14, -1136.18, , 
439.04, -259.45, , 
2043.04, 27.18, , 
-882.36, 791.60, , 
886.62, -500.74, , 
-1147.20, 39.66, , 
-187.81, -1887.03, , 
-364.34, 788.24, , 
-1232.93, -2509.85, , 
146.52, -1717.92, , 
-3181.64, 3275.23, , 
2628.21, 172.95, , 
-4202.35, 997.63, , 
-476.79, -1217.27, , 
-231.01, 294.81, , 
-113.03, -1051.77, , 
-452.74, -1321.82, , 
763.45, -1101.85, , 
-457.71, -1436.95, , 
175.50, -253.93, , 
-1188.10, -614.62, , 
-2932.04, -63.51, , 
-2051.57, 254.46, , 
-897.95, 2613.45, , 
-395.15, -178.67, , 
-427.50, -1213.69, , 
-1112.35, 611.77, , 
-398.12, 588.13, , 
-2546.48, -384.38, , 
-2409.25, 216.76, , 
1564.93, 1111.10, , 
-1687.54, 2084.32, , 
-507.01, -728.51, , 
-2427.37, -1350.17, , 
1042.31, -578.18, , 
-702.29, 978.54, , 
-692.05, -1623.73, , 
-1826.90, -376.69, , 
3370.70, -2376.91, , 
614.84, 639.92, , 
-591.25, -73.15, , 
2456.71, 358.06, , 
2865.92, 572.86, , 
-2772.50, -3096.31, , 
1314.83, -843.72, , 
1951.12, -97.28, , 
1803.70, -783.65, , 
3968.50, -1726.62, , 
-335.13, -197.97, , 
180.19, -912.76, , 
-1262.38, -2230.60, , 
-1434.43, -816.02, , 
-1331.90, -603.97, , 
1325.66, 786.69, , 
353.09, 350.85, , 
-3451.99, -231.36, , 
2404.92, -1126.89, , 
657.42, 613.30, , 
-1517.08, 149.51, , 
-1634.04, 422.05, , 
943.94, 78.87, , 
-3058.64, -591.45, , 
-1044.29, 1617.56, , 
1169.78, -1167.19, , 
4458.54, -578.61, , 
-2056.41, -641.25, , 
-1029.27, -1446.77, , 
1732.11, -408.42, , 
-1245.73, 882.22, , 
-2371.94, 596.86, , 
-2226.04, 880.19, , 
2024.68, 138.25, , 
-148.53, 1668.05, , 
1820.92, 1561.37, , 
-1780.40, -236.05, , 
-486.54, -2190.02, , 
902.44, 190.28, , 
-1827.40, -909.04, , 
-363.64, 1409.22, , 
1022.71, -437.95, , 
652.01, -332.34, , 
-1892.30, -1818.28, , 
4030.80, 4271.03, , 
-274.24, -266.90, , 
902.02, 712.92, , 
1370.18, 2673.58, , 
-1586.25, 241.28, , 
-1973.76, -513.82, , 
2050.27, 1571.52, , 
-2834.83, -216.32, , 
-138.56, -2425.72, , 
3082.12, -1682.67, , 
-3838.08, 1017.94, , 
-1912.93, 427.28, , 
-816.68, -691.85, , 
316.72, 2583.24, , 
9195.51, -498.99, , 
13641.49, -29.09, , 
20090.91, -348.59, , 
18131.50, 234.02, , 
12615.16, -598.29, , 
15936.43, 47.41, , 
13852.68, 454.97, , 
15445.40, 457.99, , 
18385.74, 720.98, , 
18140.55, -665.10, , 
16376.37, 198.05, , 
19227.67, 48.45, , 
14649.06, 401.01, , 
17132.83, -338.66, , 
16945.45, 539.51, , 
23009.43, 323.88, , 
18640.90, -112.87, , 
18993.36, -346.28, , 
15693.77, -992.88, , 
19177.61, -374.64, , 
18645.25, 1132.07, , 
19060.53, -453.70, , 
21585.32, -122.75, , 
19026.12, -159.09, , 
24250.11, 289.75, , 
15238.51, 452.28, , 
11043.72, 72.17, , 
13004.08, 504.62, , 
8721.31, -23.20, , 
8334.63, 177.04, , 
7972.68, 255.06, , 
9307.02, -865.82, , 
5432.04, 147.00, , 
7037.85, -737.12, , 
7400.98, -584.76, , 
8070.99, 88.04, , 
22258.55, 36.68, , 
15589.02, -183.81, , 
11593.33, -262.37, , 
17484.13, 434.07, , 
8329.49, 163.79, , 
7283.21, 574.48, , 
8185.46, 173.04, , 
6094.31, 1075.20, , 
10357.23, -971.25, , 
7659.01, 506.42, , 
11656.07, 247.06, , 
3607.38, 858.97, , 
-2103.63, 52.47, , 
-3520.32, 145.35, , 
-666.20, -679.54, , 
-317.59, 501.08, , 
2239.16, -630.99, , 
-1771.13, -831.87, , 
-953.96, 765.41, , 
-1640.23, -770.95, , 
-936.54, 200.36, , 
89.15, -449.70, , 
-2723.36, 445.93, , 
-201.31, -844.42, , 
-1496.30, 666.91, , 
-6.71, 483.73, , 
189.51, -212.40, , 
1051.18, -177.58, , 
-485.61, -89.74, , 
-1828.02, -22.86, , 
-2077.50, 735.48, , 
652.39, -365.62, , 
-857.72, 1508.13, , 
895.45, -35.49, , 
-1638.64, 581.83, , 
-813.56, 298.79, , 
-1895.46, 469.81, , 
896.07, 984.98, , 
693.80, -49.23, , 
-1951.71, -232.00, , 
-445.91, -740.46, , 
-1701.37, 66.15, , 
-206.26, 199.08, , 
-2800.20, -331.19, , 
-3841.56, -206.11, , 
-384.42, 69.66, , 
-63.59, -412.71, , 
-1756.93, 99.93, , 
-1869.42, -345.73, , 
-2097.14, 154.62, , 
-12.96, -193.07, , 
971.72, 600.47, , 
-441.28, -490.04, , 
472.62, -370.65, , 
-585.36, 747.51, , 
-1182.44, -766.24, , 
595.05, -159.27, , 
-1235.53, 282.17, , 
-264.52, -707.65, , 
475.78, -74.63, , 
-675.77, -160.00, , 
-2462.81, -573.02, , 
-670.07, 1444.63, , 
-1463.13, -160.76, , 
-2363.49, -290.64, , 
-634.64, 11.19, , 
-1256.35, 344.07, , 
1626.84, 135.86, , 
-1313.85, -6.65, , 
434.81, 354.39, , 
-663.32, 650.13, , 
-881.10, -630.08, , 
1047.58, 453.60, , 
809.22, -705.62, , 
623.69, 240.02, , 
-2903.81, -560.94, , 
1489.46, 150.74, , 
2015.69, -185.77, , 
-2113.05, 483.40, , 
2427.69, 91.22, , 
-752.59, -21.73, , 
266.45, 271.77, , 
-1.41, -431.65, , 
3189.20, -110.17, , 
2999.12, -325.81, , 
-319.74, 56.06, , 
1601.74, -54.04, , 
-368.19, 71.28, , 
117.51, -121.29, , 
1022.39, 716.14, , 
-321.77, -627.28, , 
-1199.21, -610.66, , 
705.71, 420.26, , 
663.92, -56.29, , 
2135.80, -266.43, , 
-436.91, 36.82, , 
398.11, 767.34, , 
419.60, -1039.80, , 
